2026-04-01 20:35:56 | DEBUG    | mt5_collector        | mt5_collector.py:345 | No more data for 10min before 2026-03-25 20:35:56.217744
2026-04-01 20:35:56 | DEBUG    | mt5_collector        | mt5_collector.py:345 | No more data for 10min before 2026-03-18 20:35:56.217744
2026-04-01 20:35:56 | INFO     | mt5_collector.collection | logger.py:244 | Completed 10min: Fetched 0, Inserted 0 new records
2026-04-01 20:35:56 | INFO     | mt5_collector        | mt5_collector.py:435 | No existing data for 15min, doing full fetch
2026-04-01 20:35:56 | INFO     | mt5_collector        | mt5_collector.py:321 | Fetching 15min from 2000-01-01 00:00:00 to 2026-04-01 20:35:56.256266
2026-04-01 20:35:56 | INFO     | mt5_collector.collection | logger.py:214 | Processing timeframe: 15min
2026-04-01 20:35:56 | DEBUG    | mt5_collector        | mt5_collector.py:345 | No more data for 15min before 2026-04-01 20:35:56.256266
2026-04-01 20:35:56 | DEBUG    | mt5_collector        | mt5_collector.py:345 | No more data for 15min before 2026-03-25 20:35:56.256266
2026-04-01 20:35:56 | DEBUG    | mt5_collector        | mt5_collector.py:345 | No more data for 15min before 2026-03-18 20:35:56.256266
2026-04-01 20:35:56 | INFO     | mt5_collector.collection | logger.py:244 | Completed 15min: Fetched 0, Inserted 0 new records
2026-04-01 20:35:56 | INFO     | mt5_collector        | mt5_collector.py:435 | No existing data for 30min, doing full fetch
2026-04-01 20:35:56 | INFO     | mt5_collector        | mt5_collector.py:321 | Fetching 30min from 2000-01-01 00:00:00 to 2026-04-01 20:35:56.299130
2026-04-01 20:35:56 | INFO     | mt5_collector.collection | logger.py:214 | Processing timeframe: 30min
2026-04-01 20:35:56 | DEBUG    | mt5_collector        | mt5_collector.py:345 | No more data for 30min before 2026-04-01 20:35:56.299130
2026-04-01 20:35:56 | DEBUG    | mt5_collector        | mt5_collector.py:345 | No more data for 30min before 2026-03-25 20:35:56.299130
2026-04-01 20:35:56 | DEBUG    | mt5_collector        | mt5_collector.py:345 | No more data for 30min before 2026-03-18 20:35:56.299130
2026-04-01 20:35:56 | INFO     | mt5_collector.collection | logger.py:244 | Completed 30min: Fetched 0, Inserted 0 new records
2026-04-01 20:35:56 | INFO     | mt5_collector        | mt5_collector.py:435 | No existing data for 1H, doing full fetch
2026-04-01 20:35:56 | INFO     | mt5_collector        | mt5_collector.py:321 | Fetching 1H from 2000-01-01 00:00:00 to 2026-04-01 20:35:56.444069
2026-04-01 20:35:56 | INFO     | mt5_collector.collection | logger.py:214 | Processing timeframe: 1H
2026-04-01 20:35:56 | DEBUG    | mt5_collector        | mt5_collector.py:345 | No more data for 1H before 2026-04-01 20:35:56.444069
2026-04-01 20:35:56 | DEBUG    | mt5_collector        | mt5_collector.py:345 | No more data for 1H before 2026-03-02 20:35:56.444069
2026-04-01 20:35:56 | DEBUG    | mt5_collector        | mt5_collector.py:345 | No more data for 1H before 2026-01-31 20:35:56.444069
2026-04-01 20:35:56 | INFO     | mt5_collector.collection | logger.py:244 | Completed 1H: Fetched 0, Inserted 0 new records
2026-04-01 20:35:56 | INFO     | mt5_collector        | mt5_collector.py:435 | No existing data for 4H, doing full fetch
2026-04-01 20:35:56 | INFO     | mt5_collector        | mt5_collector.py:321 | Fetching 4H from 2000-01-01 00:00:00 to 2026-04-01 20:35:56.482659
2026-04-01 20:35:56 | INFO     | mt5_collector.collection | logger.py:214 | Processing timeframe: 4H
2026-04-01 20:36:25 | DEBUG    | mt5_collector        | mt5_collector.py:287 | 4H: 75 candles with warnings
2026-04-01 20:36:26 | DEBUG    | mt5_collector.collection | logger.py:230 |   4H: Chunk processed - Fetched: 8409, Inserted: 9, Invalid: 0, Earliest: 2018-06-29 00:00:00
2026-04-01 20:36:26 | INFO     | mt5_collector        | mt5_collector.py:393 |   4H: Fetched 8409, inserted 9, invalid 0 (up to 2018-06-29 00:00:00)
2026-04-01 20:36:26 | DEBUG    | mt5_collector        | mt5_collector.py:287 | 4H: 1 candles with warnings
2026-04-01 20:36:26 | DEBUG    | mt5_collector.collection | logger.py:230 |   4H: Chunk processed - Fetched: 1, Inserted: 0, Invalid: 0, Earliest: 2018-06-29 00:00:00
2026-04-01 20:36:26 | INFO     | mt5_collector        | mt5_collector.py:393 |   4H: Fetched 1, inserted 0, invalid 0 (up to 2018-06-29 00:00:00)
2026-04-01 20:36:26 | INFO     | mt5_collector        | mt5_collector.py:411 |   4H session breakdown: asian=2,450, london=1,227, london_ny_overlap=1,225, new_york=1,341, off_hours=2,167
2026-04-01 20:36:26 | INFO     | mt5_collector.collection | logger.py:244 | Completed 4H: Fetched 8,410, Inserted 9 new records
