timeframe,symbol,timestamp,open,high,low,close,volume,signal,signal_reason,trade_outcome,label,tp_price,sl_price,rr_ratio,demand_zone_strength,demand_zone_fresh,demand_zone_touches,supply_zone_strength,supply_zone_fresh,supply_zone_touches,nearest_demand_dist_atr,nearest_supply_dist_atr,in_demand_zone,in_supply_zone,between_zones,bullish_engulfing,bearish_engulfing,pin_bar_bullish,pin_bar_bearish,higher_low,lower_high,bos_bullish,bos_bearish,buy_confirmation_score,sell_confirmation_score,atr_14,rsi_14,ema_spread_atr,price_above_ema20,price_above_ema50,price_above_ema200,ema_trend_bias,bb_position,bb_width_atr,volume_ratio,body_atr_ratio,momentum_5,momentum_10,htf_1h_bias,htf_4h_bias,htf_aligned,candle_size_atr,body_size_atr,wick_upper_atr,wick_lower_atr,hour,month,day_of_week_int,spread_norm
15min,USTECm,2024-01-04 08:00:00,16416.1,16429.0,16414.12,16420.95,683.0,0,,0,0,,,,1.987826573443497,0.0,3.0,2.601886446245831,0.0,6.0,0.6079480944143478,18.80636926545406,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,10.494316963271409,64.28045765777227,-0.4731981816605124,1.0,1.0,0.0,-1.0,0.847201928159088,5.157469855042148,2.04828310091468,0.4621548993587956,0.6079480944143478,3.031164401773999,-1.0,-1.0,1.0,1.4179102891667794,0.4621548993587956,0.76708184326563,0.1886735465423537,8,1,3,0.0
15min,USTECm,2024-01-04 08:15:00,16420.57,16426.31,16413.61,16414.49,559.0,0,,0,0,,,,1.9287504324943305,0.0,2.0,2.601886446245831,0.0,6.0,1.4385811094544259,18.89250011140415,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.788408034835319,55.07186645964515,-0.4036281143423109,1.0,1.0,0.0,-1.0,0.7080222816778667,5.089052276704533,1.618413433700058,0.5635678573120273,-0.32998381118906334,2.354378877586565,-1.0,-1.0,1.0,1.177189438793215,0.5635678573120273,0.5320525495018152,0.08156903197937238,8,1,3,0.0
15min,USTECm,2024-01-04 08:30:00,16414.18,16424.83,16408.1,16410.4,587.0,0,,0,0,,,,1.9287504324943305,0.0,2.0,2.601886446245831,0.0,6.0,0.9869937625967858,17.9532697446625,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,11.580620296857703,49.854435256969424,-0.34850517181348484,1.0,0.0,0.0,-1.0,0.6200092904381977,4.727719803117083,1.6424174594292111,0.32640738605562164,-1.4308387267041154,2.0162995937564756,-1.0,-1.0,1.0,1.4446549123572885,0.32640738605562164,0.9196398575376642,0.19860766876400257,8,1,3,0.0
15min,USTECm,2024-01-04 08:45:00,16410.73,16410.96,16391.23,16394.86,569.0,0,,0,0,,,,,,,2.601886446245831,0.0,6.0,,17.64004080629243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,12.667204257276618,35.22438142812071,-0.3642847279057588,0.0,0.0,0.0,-1.0,0.33563837289363824,4.31771856770307,1.524855956049846,1.2528415645373012,-2.7851449525440786,-0.3244599136892903,-1.0,-1.0,1.0,1.5575654737442315,1.2528415645373012,0.018157124123729003,0.2865667850832012,8,1,3,0.0
15min,USTECm,2024-01-04 09:00:00,16394.72,16408.36,16394.31,16405.34,602.0,1,demand rr=6.10,-1,0,16511.825,16387.884211488516,6.100268683362062,0.8263577287841865,1.0,0.0,2.601886446245831,0.0,6.0,0.0,16.571507109151227,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,12.851577022972972,47.266138739621574,-0.35116731575095156,0.0,0.0,0.0,-1.0,0.5211815638976409,4.239272786304003,1.538068472151252,0.8263577287842656,-0.8100173217178989,0.47620614879085355,1.0,-1.0,0.0,1.0932510442014063,0.8263577287842656,0.23499061590663678,0.03190269951050367,9,1,3,0.0
15min,USTECm,2024-01-04 09:15:00,16405.07,16424.42,16404.33,16419.67,568.0,1,demand rr=4.46,-1,0,16518.989999999998,16397.421649956712,4.4641512654539754,1.0566922570884683,1.0,0.0,2.601886446245831,0.0,6.0,0.0,14.376804790964211,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,13.81670008657611,59.225324871472665,-0.2609334234965996,1.0,1.0,0.0,-1.0,0.7578958883738551,4.041652589095014,1.3928396272682688,1.0566922570885735,-0.09264151295041015,0.36911852816097174,1.0,-1.0,0.0,1.4540374962266742,1.0566922570885735,0.34378686446374823,0.05355837467435236,9,1,3,0.0
15min,USTECm,2024-01-04 09:30:00,16420.17,16425.5,16415.82,16416.97,523.0,0,,0,0,,,,0.8263577287841865,0.0,1.0,2.601886446245831,0.0,6.0,0.8767340513720415,15.17812845255645,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,13.265140075032669,56.44251283015182,-0.22268050453431754,1.0,1.0,0.0,-1.0,0.6897724114940821,4.217318950667541,1.236698983211161,0.2412337888555707,0.18695618636303438,-0.0814164037386125,1.0,-1.0,0.0,0.7297322112881013,0.2412337888555707,0.4018050295625599,0.08669339286997071,9,1,3,0.0
15min,USTECm,2024-01-04 09:45:00,16417.2,16422.62,16412.48,16422.15,546.0,0,,0,0,,,,1.0566922570884683,0.0,1.0,2.601886446245831,0.0,6.0,0.193019320361185,15.267205597581105,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,12.848454731694902,60.546242082686696,-0.16238940084017459,1.0,1.0,0.0,-1.0,0.7552474889343082,4.3872062532465925,1.240486197887084,0.38526033701073886,0.9145068605810467,-0.3751423887659897,1.0,-1.0,0.0,0.789199963088665,0.38526033701073886,0.03658027442324187,0.36735935165468425,9,1,3,0.0
15min,USTECm,2024-01-04 10:00:00,16422.13,16422.89,16405.66,16412.66,500.0,0,,0,0,,,,0.8263577287841865,0.0,1.0,2.601886446245831,0.0,6.0,0.5449404348636008,15.309699512254747,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.432660767468859,50.490581330148835,-0.1381906402195396,1.0,1.0,0.0,-1.0,0.5704906017549943,4.042766553117938,1.109139307897072,0.7049980762511618,1.325128379859574,-1.3013058471879622,1.0,-1.0,0.0,1.2826944935382807,0.7049980762511618,0.0565785150951302,0.5211179021919886,10,1,3,0.0
15min,USTECm,2024-01-04 10:15:00,16412.86,16422.79,16412.57,16413.88,454.0,0,,0,0,,,,0.8263577287841865,0.0,1.0,2.601886446245831,0.0,6.0,0.6567055559138298,15.720177610708514,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,13.004305998473166,51.680954933635924,-0.12156684593637587,1.0,1.0,0.0,-1.0,0.5749965348169452,3.9619477168406627,0.9897536516241553,0.07843555820047284,0.6567055559138298,-0.1437985233674552,1.0,-1.0,0.0,0.7858935341263062,0.07843555820047284,0.6851576701629539,0.02230030576287953,10,1,3,0.0
