timeframe,symbol,timestamp,open,high,low,close,volume,signal,signal_reason,trade_outcome,label,tp_price,sl_price,rr_ratio,demand_zone_strength,demand_zone_fresh,demand_zone_touches,supply_zone_strength,supply_zone_fresh,supply_zone_touches,nearest_demand_dist_atr,nearest_supply_dist_atr,in_demand_zone,in_supply_zone,between_zones,bullish_engulfing,bearish_engulfing,pin_bar_bullish,pin_bar_bearish,higher_low,lower_high,bos_bullish,bos_bearish,buy_confirmation_score,sell_confirmation_score,atr_14,rsi_14,ema_spread_atr,price_above_ema20,price_above_ema50,price_above_ema200,ema_trend_bias,bb_position,bb_width_atr,volume_ratio,body_atr_ratio,momentum_5,momentum_10,candle_size_atr,body_size_atr,wick_upper_atr,wick_lower_atr,hour,month,day_of_week_int,spread_norm
1H,USTECm,2024-01-16 01:00:00,16764.3,16787.35,16753.77,16782.82,2568.0,0,,0,0,,,,2.0435293437256563,0.0,7.0,0.7028406492214758,0.0,1.0,3.201774472226044,0.8271447258039357,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,29.680416539122735,35.11096016072368,0.3471324734606182,0.0,0.0,1.0,1.0,0.011487490935284181,3.552492929829079,1.4522012045126813,0.6239804611767553,-2.0764533381384487,-1.8881136633016151,1.1313857390019137,0.6239804611767553,0.15262589034183055,0.35477938748332793,1,1,1,0.0
1H,USTECm,2024-01-16 02:00:00,16782.68,16789.0,16770.02,16774.5,2021.0,0,,0,0,,,,2.0435293437256563,0.0,7.0,0.7028406492214758,0.0,1.0,3.068979191720828,1.1633876834489851,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,28.253694333906314,32.80215700592498,0.25713170581866907,0.0,0.0,1.0,1.0,0.01634590309734518,4.184042236902918,1.1407123102105323,0.28951966080355923,-2.0103565689048843,-2.2595275239241155,0.6717705577080141,0.28951966080355923,0.2236875618922365,0.15856333501221828,2,1,1,0.0
1H,USTECm,2024-01-16 03:00:00,16774.36,16775.91,16756.17,16765.39,1953.0,0,,0,0,,,,2.0435293437256563,0.0,7.0,0.7028406492214758,0.0,1.0,2.861511499209687,1.5480187208353566,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,27.118535089385688,30.286046327470245,0.1506883306473522,0.0,0.0,1.0,1.0,0.02532340747925249,4.82065153742535,1.0892966701991187,0.33077007922566204,-2.70073585312018,-2.460309886949449,0.7279154251855706,0.33077007922566204,0.05715647968782343,0.3399888662720852,3,1,1,0.0
1H,USTECm,2024-01-16 04:00:00,16765.42,16771.05,16759.56,16767.05,1345.0,0,,0,0,,,,2.0435293437256563,0.0,7.0,0.7028406492214758,0.0,1.0,3.166001738361181,1.610562579999047,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,25.034730410800655,31.392508312526942,0.05597003538142993,0.0,0.0,1.0,1.0,0.09579295176154036,5.532494651159635,0.7476375764313508,0.06510954874500163,-1.610562579999047,-2.5021240082128,0.45896240188961274,0.06510954874500163,0.15977803373006536,0.23407481941454575,4,1,1,0.0
1H,USTECm,2024-01-16 05:00:00,16767.17,16767.65,16748.05,16750.72,1781.0,0,,0,0,,,,2.0435293437256563,0.0,7.0,1.5006629555801536,0.0,1.0,2.5886360321073116,0.5594382653210791,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,24.31009968936086,26.60035952318492,-0.07622852777037831,0.0,0.0,1.0,0.0,0.04809123728270414,6.079312012096776,0.9703606843194943,0.6766734900391718,-0.5594382653210791,-2.93088061795082,0.8062492647275239,0.6766734900391718,0.01974487995251079,0.10983089473584126,5,1,1,0.0
1H,USTECm,2024-01-16 06:00:00,16750.21,16755.29,16738.52,16754.04,1831.0,0,,0,0,,,,2.0435293437256563,0.0,7.0,1.5006629555801536,0.0,2.0,2.8427677314469793,0.44111173251730773,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,23.304753064112806,29.13792889075644,-0.19262699045253492,0.0,0.0,1.0,0.0,0.12071264654745495,6.63001318148678,0.9800090989375653,0.16434415715384046,-1.2349412122421246,-3.879466122265977,0.7195956959451448,0.16434415715384046,0.05363712700843357,0.5016144117828707,6,1,1,0.0
1H,USTECm,2024-01-16 07:00:00,16754.05,16765.98,16738.61,16751.98,1993.0,0,,0,0,,,,2.0435293437256563,0.0,7.0,1.5006629555801536,0.0,2.0,2.691767353046389,0.5174701532418369,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,23.84678598889763,28.434142017941042,-0.2884745351365598,0.0,0.0,1.0,0.0,0.14004595638793702,6.340937089818361,1.0471286712551884,0.08680415050328928,-0.9443620624802477,-3.326234404792696,1.1477437677657139,0.08680415050328928,0.5002770606300682,0.5606625566323563,7,1,1,0.0
1H,USTECm,2024-01-16 08:00:00,16752.15,16752.15,16685.01,16713.65,3444.0,0,,0,0,,,,2.0435293437256563,0.0,7.0,1.2998319036846433,1.0,0.0,0.873081896864562,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,29.619214523711687,18.72436749771883,-0.3740300392593519,0.0,0.0,0.0,0.0,-0.026706441176249655,5.4570869348737885,1.7258832372838888,1.2998319036846433,-1.7468390310815793,-4.219558216168991,2.2667717925555055,1.2998319036846433,0.0,0.966939888870862,8,1,1,0.0
1H,USTECm,2024-01-16 09:00:00,16714.03,16736.32,16711.8,16726.34,2659.0,0,,0,0,,,,0.4253728255321474,1.0,0.0,1.5006629555801536,0.0,3.0,0.0,1.3124012927464708,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,28.93931925388352,28.10320969594858,-0.4829600360714591,0.0,0.0,1.0,0.0,0.10553844916769611,5.8577197837191815,1.3244010559346515,0.42537282553210215,-1.4067366147369218,-2.799996754903797,0.8472901447641872,0.42537282553210215,0.3448595287417043,0.0770577904903808,9,1,1,0.0
1H,USTECm,2024-01-16 10:00:00,16726.35,16728.63,16698.13,16717.66,2351.0,0,,0,0,,,,2.0435293437256563,0.0,8.0,1.5006629555801536,0.0,3.0,1.0247908812299267,1.6008283400800087,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,29.147410020032385,25.75737957361187,-0.5808350286767437,0.0,0.0,1.0,0.0,0.10818035221008336,6.120513906226383,1.1670389674857284,0.29813969728451173,-1.134234567574954,-1.6008283400800087,1.046405151573948,0.29813969728451173,0.07822307362585579,0.6700423806635806,10,1,1,0.0
